Andy(00:00:08): 等一下我们是怎么写？

海特(00:00:26): 今天是起晚了吗？

Andy(00:00:28): 今天一起玩，九点钟的时候醒了一下，我想还有两个小时就再睡一下，然后比。

Andy(00:00:40): 可能也睡了，差不多过了几分钟，然后就自然喝了点水，我就找个别人的地方。

海特(00:00:51): 今天想从哪一个部分开始？

Andy(00:00:54): 因为其实还蛮多的，我不知道怎么从哪里开始想一下 r15。

Andy(00:01:29): 还有一个问题。我觉得是希望可以探讨一下的。

Andy(00:01:42): 上周或者上这两个是发生了一个事情，我不知道上次有没有和你说。

Andy(00:01:57): 就是怎么讲就是不好意思行不行上周就是我。我就是怎么讲，就在酒吧认识了一个重庆的女生吧，然后就没有这么一天，我就上周又会认识一个同性的每一天，然后就。

Andy(00:02:28): 准备下面比较快跟他发生的关系，他是来旅游的，我们就一起。

Andy(00:02:47): 待了几天我们一起就我感觉好像很甜蜜的，待了几天，他又回去他的城市。不好意思，然后后来简单来说的话就是我感觉他回去以后他是有一点点冷淡了。

Andy(00:03:13): 我就是会投入度比较高，然后我不是说我有就是我不是说我有去上海上那个。心理学还有情感的课，大家其实有一次和那个导师就是咨询的机会，那我其实又跟他咨询了一下，就主要是。

Andy(00:03:40): 因为发生了一件事情，就是诚信的女生，她回去以后她跟他姐还有一个男生，然后他们就一起。喝酒，然后就那一天晚上可能十点钟时候就他可能收到就没有回复我，然后我就内心的一份。焦虑这样子，然后就会投射很多不好的事情，这样子有那个不好的事情可能就要他们不能跟我们喝醉了，然后就。

Andy(00:04:14): 就和他发生关系这样子，然后就会重审的东西，那就是我的做法就是去容纳那种情绪，就当然还是会有一点点。

Andy(00:04:30): 亲切一点点过来，就比如说我有点担心这样子就跟那个导师聊了一会他就。

Andy(00:04:42): 反正可能后来他就让我要计算人家什么是限时的幻想，这样子。

Andy(00:04:53): 可能就是刚刚我想那些事，他就是一些我们幻想那现实就那个女生其实就是他是有在回复，然后另外一个问题，可能因为那天我们可能聊了也差不多50分钟这样子，所以。

Andy(00:05:12): 就我没有办法全部都告诉你，就是反正另外一个重点就是我会有一个模式，就是因为坦白讲，我跟那个女生也是认识就真实面对面在一起的时间也才。可能44个晚上左右，然后我就会有对他会有很强烈的情感。

Andy(00:05:45): 后来就是我跟他聊的话就是我是会把就有这只能说有可能。我是很渴望一段，我不知道互相大家很高度回忆的一段关系。

Andy(00:06:09): 可能对方也会听我的话的这么一段关系。所以可能我把这个东西又投射到这个女生身上了，我觉得其实也不止这个女生，我觉得比如之前这种状况也。我觉得也是有在重复发生，就是可能跟某一个女生就是感觉很快的就在一起，然后我对它很高浓度的投入。

Andy(00:06:46): 但是可能发现对方他不是这样的，然后最后就能做一下这样子，因为它匹配不大，我感觉那个浓度，所以我觉得就是这一点，我是希望可以多。探讨一下。

海特(00:07:05): 探讨我明确一下，探讨的是哪个部分，是当我很高浓度的投入，但对方并没有。此刻我要做什么样的选择，我应该要怎么样去唤醒它的高浓度，还是想要探讨哪个方面？

Andy(00:07:28): 我觉得是因为对方是不是高浓度不是我来确定是他自己来决定我控制不了，就是我想控制的是。

