海特(00:00:09): 喂 hello。

Andy(00:00:10): Hello. 早上好。

海特(00:00:14): 上好刚起床吗。

Andy(00:00:19): 没有起了一会儿头发比较爆炸依旧。

海特(00:00:23): 那我们就开始今天的咨询怎么样，今天同样的问题，今天会想从哪个部分开始吗？或者有任何想要分享的吗？

Andy(00:00:31): 好好。

Andy(00:00:44): 也有一些东西想分享，想要我们是周日做完咨询嘛，周六。

海特(00:00:54): 周日。

Andy(00:00:59): 周日。就刚刚那个周日？

海特(00:01:07): 44天前。

Andy(00:01:11): 那我那时候已经在深圳了吧，我有没有聊到这个，就我这几天就参加了一个健身的课程，然后就在深圳。这边就是留了好几天，然后今年回去香港这样子就是明天跟后天就是原本这家公司。的最后两天工作天这样子，然后下周一去就入职新的公司。然后这个心情也是蛮忐忑的。这几天参加了健身，然后想把肚子练得小一点，因为酒桌的比较多，现在这一刻我的心情。我觉得是算是比较。看这么忐忑，就是因为也是要。跟原本的公司要离别了，下周一也要开启一下新的工作。对，然后我昨晚就做了一个梦，我觉得还蛮奇怪的，就是我下周一，我梦见我下周一。就新工作的第一天，然后因为忙忙着处理旧公司的事情，然后就错过了入职，然后想一下还蛮恐慌的，然后就做了这样一个梦。对然后。能感受到对旧公司一些不舍，然后对一些新挑战有一点忐忑的感觉。

海特(00:03:34): 这一部分有哪些是想要来讨论的吗？无论是上健身课。做一个梦。

Andy(00:03:47): 不讨论这些我们周日有没有什么课题是遗留的？

海特(00:03:53): 周日我们也是谈到了。上周在之前那家公司因为在现在还没离职的这家公司因为不小心。犯了一个错，就是扣用了客户的2000块钱，引发了很多的恐慌，一方面有恐慌那么的强烈，但另一方面，自己面对这个恐慌，好像就僵住了。那个僵住的状态好像又引发了很多内在的愤怒，你是内在的愤怒，好像有一股。我们感受到的生命张力。不知道谈到这里是否还有印象。没有也没有关系。

