Andy(00:00:00): 等一下，等一下开摄像。

Hite(00:00:02): 是在回去的路上，还是在哪里。

Andy(00:00:08): 没有随便找了个地方。

Hite(00:00:12): 那就可能等你坐下了，我们再开摄像头，那我们就开始今天的咨询还是同样的问题。

Andy(00:00:16): 可以的。

Hite(00:00:25): 好奇今天有什么想要和我分享，或者有什么想要和我讨论的吗？

Andy(00:00:32): 这周。这周这几天没什么特别。

Hite(00:00:45): 今天有任何想要讨论的话题吗？

Andy(00:00:51): 今天。也可以分享一下这几天的状态，感觉有在计划往自己想要成为的方向去。走法，当然知道中间也是有很多工作要去做。感觉他好像有很多东西要去学这样子，然后就好像。有点方向更加坚定的。

Andy(00:01:38): 前进这样子，然后大概是这样的感觉，大家感觉因为好像想做的事就在做的事情会多了，然后感觉。相对来说会比较累一点，然后感觉就是接下来的就今天晚上又刚读了一本书，然后他又是在讲。

Andy(00:02:09): 人的注意力是有限的，然后就可能现在就在想，把一些不太需要值得关注的事情，可能好的减少一点。这样子大概状态就是这样。

Hite(00:02:25): 什么样的一些事情，你觉得在现在可以减少关注了？

Andy(00:02:34): 我没想到。比如说。以前我可能比如说买东西的时候，或者说是一件小事情不容易。怎么讲就容易想很多，比如说买东西哪个要性价比，然后或者说综合考虑很多。感觉就是意识到怎么讲，我的注意力也是很挺珍贵的吧，可能就是就算他会恢复，就是虽然他用完会恢复，但是。感觉可以专注在一些更有。价值的事情，当然你说还有什么是值得被怎么讲舍弃掉了，在注意里面，那感觉还要探索一下，就是现在有这个念头这样子。

Hite(00:03:37): 那什么是更有价值的事情？

Andy(00:03:43): 比如说我感觉就是可能留下了一些精力去，比如说学学的事情，或者是做要做的事情这样子。

Hite(00:03:56): 当你可能更明确了哪些事情是在现在我更想要去专注的哪些意识是可以舍弃的，我也期待那时候再跟我分享。我不知道，今天我们继续探讨上周的关于选择的问题，还是有其他的，也是你想更想探讨的部分。

Andy(00:04:22): 我脑子里是没有别的想要探索。可以从理想继续探讨或者是发掘的话题来是这样子。

