Andy(00:02:07): Hello. Hello. 

海特(00:02:13): Hello, Andy? 

海特(00:02:24): 好像有点听不清诶！

Andy(00:02:31): 你好。好 Come here to you. 

海特(00:02:47): 可以听到你讲话 OK。

Andy(00:02:53): 所以这样好一些。

海特(00:02:55): 那我们就开始今天的咨询。

Andy(00:03:03): 没问题。

海特(00:03:06): 上次我们谈到了那样一个非常坚固的自我的这么一个感受。然后也谈到了在这一周会有一个面试，我不确定今天会有在这方面有任何其他还想和我分享的部分吗？

Andy(00:03:24): 对。

海特(00:03:34): 或者今天有任何！

Andy(00:03:36): 也是有的好，那直接开始分什么的？其实是昨天早上去面试的。我感觉也是充满了体验，就是去面试之前拿到对就有点期待，然后又有点忐忑不安的感觉吧。因为是第一个面试了，然后面试大家平时也蛮大的，就会有点紧张，跟期待这样子。然后而忐忑的位置在于就这两周就是目就目前在工作那家公司。就工作太忙了，然后有点感觉，好像没有抽很足够的时间。不来准备 That. 

海特(00:04:55): 系系。

Andy(00:04:58): 然后但是就还都来回，还打了车频率有不待遇，我说话如果会卡你告诉我，因为他说我网络不行。那我先关掉视频，因为他可能我感觉位置网络就。

海特(00:05:11): 对刚才好像有一点卡住了。好。

Andy(00:05:27): OK 但现在有没有排？

海特(00:05:33): 现在可以听到。

Andy(00:05:34): 还蛮期待的，因为对方是一家大公司，这是我想。就是我下一次工作想要进的公司的类型有点忐忑，是因为准备，我觉得不太充分了，因为也是第一次面试，这两周工作有点本职工作有点太忙了。对，但是就是别的我不知道算不算做的比较好的一点，就是感觉也准时就上床睡觉了。也没有太焦虑到可能很晚了这样子，第二天早上就早点过去，做一下定位的准备，这样子。

Andy(00:06:34): 那个结果，我觉得是。

海特(00:06:35): 最终面试过程还顺利吗？

Andy(00:06:49): 我刚刚有没有在卡了？

海特(00:06:54): 我不确定，刚才说那个结果后面我就没有听到了。

Andy(00:06:55): 我刚刚又打了。对我还没有说清楚就。

Andy(00:07:12): 不是问我顺便说一下，结果，我认为是不太顺利的，因为好像。我太脏了。

Andy(00:08:05): 您继续就是结果我认为还是不太顺利的，因为对方好像更希望有一个。也不这么说，就是我评估是不顺利的，但确切顺利不顺利，我不知道，我认为对方是更需要一个。

Andy(00:08:29): 比较偏向售后的一个就比较像是工程师一样的角色，然后我目前在做的工作是比较偏向，是售前去销售，然后跟设计这样子的东西。

Andy(00:08:44): 就可能他问的问题我能回答上来，但是比较偏向售前的角度了，这样子。那个会议结束也有点匆忙，就是大家可能比如突然有个我突然下一个会议的时间到了，然后他就上去了，这样子，所以我觉得结束也蛮。

Andy(00:09:09): 帮忙可能我又没有问到我想要问的问题，这样子就那个面试结束以后还是小感受的就是感觉好像不太顺利这样。

Andy(00:09:27): 回家也稍微消化了一点点吧，然后就感觉其实就也很正常，就不要太高的。一代就是一发即中这样子，因为我上一份工作就是现在做这份工作，也是，就是第一次面试，就好像过了这样子。所以我就感觉是不是可能很快可以这样，那但是我知道就是其实面试好几次，其实如果面试很多家不同的是一个蛮正常的数据。我感觉也是能拿到1000资讯的这个这么讲，就因为我很久没有面试了，就差不多三年，22年半没有面试过了。我就感觉有一些地方我可以做的更好了，这样子对，但是当然可能我。我觉得有一点我目前做不到，就是我知道低期望值会好一点，但是可能我还是会忍不住希望可能可以快点成功，这样子。

Andy(00:10:49): 就会落差我就会有一点失落这样子？

海特(00:10:54): 我想有那么高的期待，在有落差的情况下也会失落，这些也都很正常。我也想再多问问上，我记得在4月份的时候，当时有提到，或者说在可能甚至更早一点，3月份的时候，我们不断的在讨论是不是要换一份新工作？换一份新工作，那可能第一步我要先开始改简历，然后要投简历，然后要去面试。当时我们谈到这些过程，我能感受到好像有很多的。

海特(00:11:42): 恐惧我的简历投出去没有回应怎么办？如果我去面试失败了怎么办？当此刻我想你也投了一些简历，可能有的有回音，有的没有。也去参加了这样一场面试，虽然可能整个过程如你所说没有预期中的那么顺利，但是他和那一个可能三四月份我们谈到的时候的那样一个恐惧，你所担心的事情，当他可能也发生了。

海特(00:12:19): 它真的那么可怕吗？

Andy(00:12:23): 你刚刚突然卡了30秒？

海特(00:12:28): 刚才我讲到哪里了，你没有听到。

Andy(00:12:31): 你说可能这一次面试跟预期中不一样，后边就问不到。

海特(00:12:40): 刚才我讲到哪里了，你没有听到，我刚才可能想问。

Andy(00:12:41): 你说从三四月份开始有奖励？

海特(00:12:47): 对三，4月份当我们可能在投第一个简历之前讨论到这个话题，然后当时谈到要去投简历可能会没有回应，然后要去面试，可能会失败，当想象到这些可能失败的场景。当时我感受到好像你是有很多的恐惧，而这些恐惧也让你没有办法迈出第一步。而当此时此刻已经投出去一批简历，那我想肯定有的有回音，可能有的没有。然后也包括去参加了一场面试，如你所说，可能没有那么的顺利，我不确定当这些真的发生了，我们在那时候三四月份谈这个可能性的时候，相那种担心那种恐惧相比它真的有那么可怕吗？

