Andy(00:00:01): Hello. Hello. 

Andy(00:00:05): 早上好。

海特(00:00:07): 那我们开始今天的咨询？

Andy(00:00:15): 好。

海特(00:00:21): 上一次提到今天的咨询可能会邀请你用你的方式来进行。今天希望我们的咨询用什么样的形式来推进？

Andy(00:00:45): 我感觉上次讲到之前咨询的时候都邀请风影，用放松一点的形式，但是做什么。我在想要不要像上次一样看视频，但是又好像感觉会不会很无聊之类的。

海特(00:01:16): 很无聊。那会怎么样？

Andy(00:01:26): 就好像浪费了一次咨询。

海特(00:01:36): 浪费了一次，那又意味着什么？

Andy(00:01:43): 就浪费了钱哈。不过可以尝试一下，我觉得。

海特(00:01:50): 没关系，我们也可以再给一些更多的时间去想，今天还有没有其他想？用的一些方式。

Andy(00:02:10): 我感觉看视频是比较放松，只是我没想看视频网站还是说。看电影我就看电影好像有点太。那啥就看视频网站的，我感觉。

海特(00:02:31): 在看的过程当中，有任何想要变化调整的你都可以随时。打断随时。提出你的一些新的想法。

Andy(00:02:46): 我依家。

海特(00:02:47): 我想多问一点，上一次我们一起看视频，没有提到这样的方式，好像会更放松，然后好像也输入了一些能量，我不知道在过去一周有想到这次咨询吗？

Andy(00:03:05): 也有。

海特(00:03:08): 那会是一种什么样的感受是浪费了时间，又或者好像有一些不一样的感觉。

Andy(00:03:22): 我感觉这次因为上次聊了，想这次放松一点去看视频，然后。然后但是因为是新尝试，也不知道是怎么样。所以就会有点忐忑，对！

海特(00:03:46): 忐忑什么？

Andy(00:03:51): 就不知道新尝试会怎么样？

海特(00:03:59): 如果今天我们还选择这样的一个方式，你会希望我能够在这过程当中做些什么？

Andy(00:04:19): 什么都不用做。是不是断线？你能听见我说话，

海特(00:04:44): 可以的。

Andy(00:04:47): 我说什么不都不用做，

Andy(00:04:50): 因为我还没有想到要怎么互动。

海特(00:04:56): 没有关系，等你想到了你也可以随时告诉我。

Andy(00:05:15): 所以现在开始看吗？怎么样？

海特(00:05:19): 你可以根据你的节奏来，你想现在开始。都可以。

Andy(00:05:26): 其他咨询的人他们会怎么样？

海特(00:05:38): 这也是我第一次在咨询的过程当中，通和来访一起看视频的这样一个方式，然后其他的咨询好像更多，会像我们以以往那样子。

Andy(00:05:56): 那他们很放松，跟你聊天很放松。

海特(00:06:00): 各种情况都有，有的来访可能相对会比较放松一点点，有的来访我们也会讨论到很多相对更沉重的话题，可能也会。很辛苦，也会有很多比较沉重的情绪出来，这些都很正常，对。

Andy(00:06:31): 试一下吧，反正我们。中的也聊了挺多。

海特(00:06:35): 我们，你是我目前为止，持续咨询最长的一位来访，可能我们也更快的步入到这样一个。更早的步入到这样一个。我们好像已经你说的，我们真的讨论了很多的这样一个阶段。

Andy(00:07:02): 试一下，你能看见我屏幕的对？

海特(00:07:05): 可以的，你希望我在和你一起看的过程当中说话吗？

Andy(00:07:13): 你想说也可以

视频内容:

我也不知道，第一次尝试大王最近老是说我老了没有，以前帅了，不知道是出于什么心理，他还给我买了一件很难穿出去的背心。没错，我40岁了，这是硬件开始需要维护的年纪。每次下蹲都会触发膝盖的双声弹响，但不痛，肩膀的活动范围变小了，但能动睡觉的时候以为自动给队友施加清醒 buff，但不影响我做梦，但有些事情确实大不如前。我的头发变少了，鼻毛的生长速度却变快了。可以专注思考的时间变短，上厕所的时间变长了，以前是一周五练，现在玩个游戏都可以瞬间断电。心态上也有些变化，

年轻的时候，我是努力把自己打扮成练习生的模样，在酒吧里喝到深夜醉得东倒西歪的，还觉得自己特别有生命力，而现在聚会这件事情也开始对我失去吸引力。在家里待着多舒服，玩玩游戏，看看剧又省钱又省力，也不像之前那样过多的在意自己的外表，比起体面我更需要方便。

我领悟到了成熟男人的时髦，就四个字，不要打包。还是挺帅的，事实上我觉得40岁可能是我人生最爽的阶段，小时候想要的东西现在都有了游戏机，电脑，漫画书，还有温柔的妻，没有人每天逼着我学习风扇可以吹我，而不是吹电视机，更不像刚出社会的时候那样迷茫，不自信，我早已摸清了自己的上限和缺陷，长得帅，个子高，讲话好听，热爱艺术，这是我的优点。轻度洁癖，爱玩游戏，不爱社交，这是我的其他优点。经历多的人就会发现人生最重要的事情，也就那么几件家人的健康，内心的平静，陪伴孩子的时光和随时可以打开的 steam。今天晚上我一个人睡，所以我想玩到今天就玩到今天，我的婚姻进入了最稳定，最甜蜜的时期。过去是我追着大王要亲亲抱抱，现在是大王整天堵我的道。不行，我要只要你活的时间够久，你就会发现那世界的模样在眼里会逐渐变得清晰。什么热门餐厅，什么网红景点，什么口碑爆炸的年度必看根本不放在眼里，我知道这个世界并不存在，可以让我排队2小时还觉得好吃的东西，我对那些芯片也产生了免疫，所以我只看那些经典老片重映，不需要再向外索求什么，因为这辈子我拥有过的所有美好东西。都已经被放置在三室一厅了停，


我还记得小时候县城里出现的第一家吉塔汽水，我拿着自己手上仅有的1块钱，求老板给我来半杯就好，结果他递过来的纸杯里只装了不到1/3。老板说因为杯子也要赚钱，那是一个热到发烫的大中午上学的路上几乎没有树荫，而那杯汽水。是我这辈子喝过最好喝的东西。

高二那年我被喜欢的女孩拒绝了，理由是我这个人太无聊，暑假我去了特别多的地方，我在河坝边上看夕阳，在自家的阳台看星空，在校门口看，还有谁适合被我喜欢。听了一整个夏天的，我知道我发誓一定要变成一个有趣的人，为此我还把头发染成了黄色，结果回家被打了一顿，第二天又把头发染了回去。现在想，如果那个女孩知道自己会是一定会觉得很有趣。

人生的前1万天好像每天都有新鲜的事情在发生，一转眼自己已然成为了四旬老汉，我已经很久没喝过牌子的汽水。因为我觉得她太甜，我为了随意换造型的自由，让目标客户从心动女嘉宾变成了圆梦小甜心耶！化妆成功非常棒，我依旧平凡，依旧无趣，更不妨碍有人对我目光。所以我成长了吗？

从通宵派对到开家长会，从追求前卫到有了自己极简的衣柜，应该算是成长了。你这样问我40岁到底什么感觉？我的回答可能很简单，只不过是第二个20岁

海特(00:12:56): 或许我们在看下一个视频之前。可以分享一下，看这一个视频的一些感受。

Andy(00:13:04): 可以的，可以的。

海特(00:13:08): 我想先问问你！我不知道平常你都爱看哪些类型的视频？

Andy(00:13:21): 些类型。打开我的浏览记录。比较生活类的视频会看。然后这些都是点了没看的，有一些动漫的解说，然后一些猫的影片。对，然后显卡的影片会看，这些都是动漫。

海特(00:14:06): 能卡是因为和你的工作相关吗？

Andy(00:14:13): 没有就不是说，也不是说就之前想买电脑，显卡跟显内存都很贵，所以就没有买。忘记之前有没有说过，是一直是想买一台很好配置的电脑，但是那个价格一直很不合适，所以。一直拖到现在，然后也有一个 ps5，但是对，但是一直想弄一台电脑，但是不太。一直都是不太合适的时机。

Andy(00:14:57): 然后。这两天看的大多是动漫类的。的电影解说其实也没有看完了。我有一些电影解说吧！对，还有一些综艺解说之类的。

海特(00:15:26): 好像我也注意到，总结一下生活类的，然后部分科技类的动漫类电影解说，电影解说好像一般，我看到基本都没有看完。

Andy(00:15:40): 哈对。

海特(00:15:40): 生活类的好像会看得更多一点。

Andy(00:15:45): 不会看不完吧，然后有时候，搭地铁的时候也喜欢听一下这些佛经的。这个东西！

海特(00:15:59): 搭地铁的时候，听这些佛经会有什么样的感受，会更放松吗？什么原因？在搭地铁的时候听这些？

Andy(00:16:08): 感觉放松一下吧，对，一般上班的话很消耗脑力，然后很。就很想把一件事情完成那种感觉，就要钉一下这个服就是会感觉要就慢下来一点了。然后。希望看一下这些楼市的。

海特(00:16:41): 看楼市可能会有什么样的感受吗？

Andy(00:16:52): 其实我也没有打打算买房，但是因为我是比较偏向租房的，然后。就看一下得唔得闲，就他说在楼市在。下降，然后就。好像是偏好我租房这样子。然后有时候也会爱看一下这些婚恋类比较炸裂的。

Andy(00:17:39): 点视频就比如说可能有一些什么出轨，或者说是一些很奇葩的相亲的视频这样子。

海特(00:17:49): 这些不太一样的婚姻或者相亲的内容会给你什么样的感受？

Andy(00:18:04): 感觉结婚要小心一点。

海特(00:18:07): 结婚我要更加慎重的去决定了。

Andy(00:18:08): 他跟不好的地方，可能你对婚姻会更慎重一点，他有一些东西。感觉是要避所谓避雷一下的，然后就会观察一下那女朋友有没有这样子。有时候比较累的话就会瘦一下，长期疲惫。要怎么样去解决这样子？

Andy(00:18:53): 对，大概就是这些类型。

海特(00:18:57): 尝试和你再多聊一点，我们厂也今天也可能以一个更放松的方式来聊聊一些感受，如果这个过程也会让你觉得也比较辛苦，你也可以随时叫停我？

海特(00:19:16): 从客观的，旁观第三者的角度，然后看到另一个人，他爱看这些类型的视频。你会有什么样的感受或想法？

Andy(00:19:40): 有什么感受？

Andy(00:20:04): 感觉这个人是想慢下来，但是又慢不下来。

海特(00:20:08): 是什么让你看到这些视频类型会有这样的一种感觉？

Andy(00:20:16): 因为你看像我看的都是这种浓缩版的结束，

Andy(00:20:24): 然后坦白讲。感觉最近这几个月都没有玩，就其实他这些都是有资源可以就是一集一集看的，但是。感觉可能下班太累了，比如说看完一整集就会第一次。很消耗时间，然后。也会有点负罪感，就比如说跟我夸了一晚上就看了两集的动漫这样子班级的。

海特(00:21:05): 很浪费时间，那些省下来的时间都用来做什么了？

Andy(00:21:15): 其实也是看别的视频，比如说他这种切片就比如说他10分钟就可能播完一集的。东西这样子，就会感觉好像相对连娱乐的时间都要压缩的比较有效率这样子。

海特(00:21:37): 那比如说我花了两个小时看了完整的看了这个电影，这个动漫和我花了10分钟看完，剩下的一个小时50分钟，我看了很多其他的视频，这会给你一种不一样的感受吗？

Andy(00:21:59): 不知道诶！对，凭感觉。

海特(00:22:04): 第二种方式就是两个小时10分钟看视频的切片，然后剩下的时间看其他的视频，这会让你觉得自己没有在更多的浪费时间吗？

Andy(00:22:25): 洗衣服吧。我觉得其二是好像。没那么容易，静下心来看完一整集。

海特(00:22:34): 我不确定是否在，最近有没有尝试过，比如说，我今天想试试看完一整集。在试的过程当中，我发现我静不下来。静不下来的过程当中都会想到些什么，或者被什么打断了你的注意力？

Andy(00:23:04): 我觉得有吧，比如说你看像是切片，他其实已经是切片了，一个小时。因为我打算看动漫，就要从零开始的一世界生活，他就是。多小时，其实我大概第一次看看到20看到20多分钟，然后后来又看了。所以是20分钟吧，还是没有看完，感觉注意力就差不多是20分钟左右这样子，就可能比如说。就跳去看别的更有趣的切片，

Andy(00:23:54): 这样就这后面这四个短一点的都是动漫的一些。写不了这样子！

海特(00:24:05): 看视频看这些动漫的切片和看完整的动漫会有什么样的不一样的感受。

Andy(00:24:16): 它信息的密度会高一点，然后或者它最有趣的部分，它会提取出来就会感觉，我这段时间是更。享受的，其实这么讲，因为它切片它又有点你不知道他前因后果是什么。对，所以就。

海特(00:24:44): 在这过程当中是享受的吗？或者说是比较放松的。

Andy(00:24:50): 那也放松吧！

海特(00:24:56): 达到了，在看切片之前的目的吗？

Andy(00:25:07): 也算，昨天睡前。

Andy(00:25:14): 走了走，昨天比较晚睡。

海特(00:25:16): 所以今天也是刚刚起床吧！

Andy(00:25:19): 9点钟起的吧，差不多。

海特(00:25:22): 我们从另外一个视角看，这一个人像你刚才说的。这个人他可能，他想慢一点却又慢不下来，看到这样的一个人的，他的视频观看的记录，你会想要和他说些什么？

Andy(00:26:05): 想叫他慢慢看，但是又感觉太奢侈了。

海特(00:26:10): 太奢侈了。

Andy(00:26:15): 对。就比如说可能你完整的看了两集，比如说可能之后像是之前什么显卡，然后一些猫的视频，可能。都没有时间看了。

海特(00:26:35): 可以多说一点吗？这一个人多说一点，慢慢看，我希望你可以慢慢看，这个过程好像又很奢侈，是什么？让你希望它可以更慢一点。又是什么让你觉得更慢的过程好奢侈。

