Andy(00:01:09): hello 等我30秒。

Andy(00:01:27): 你好，现在楼下的房间，我待会在开车站，我们先聊着。

Hite(00:01:34): 那我们从上周遗留的话题开始还是我不知道今天有想要和我讨论的或者想和我分享的部分吗？

Andy(00:01:53): 我们上周已有的到底是怎么？

Hite(00:02:05): 上周我们就是主要讨论了关于肌肉练肌肉，想获得力量感的这个部分。力量感背后对你的更深层的意义是希望可以获得在关系里面的一个控制感或者支配感，不想在关系里面就是处于一个被支配的这样位置。但是似乎我们也看到了，无论是在之前的一些亲密关系，好像在进入到一段关系就下意识的进入到了这样一个被支配的位置。而在我们的咨询关系。好像也是这个样子。

Hite(00:02:51): 上周遗留的话题就是什么，似乎让你比如说拿我们咨询关系来举例，再进入到这段关系之前。好像我就自动的，好像是这段关系被支配的那样一个角色，即使在咨询关系里面，你是付费的。

Hite(00:03:11): 接受服务的那一个？

Andy(00:03:21): 我这周我的牙齿好痛，不知道为什么有蛀牙。

Andy(00:03:31): 好痛，等我一下。

Hite(00:03:32): 好没事。

Andy(00:03:33): 怎么这么痛？我这一周有多一点体会。

Andy(00:03:43): 然后。上一周我会感觉好像是我好像比较想要去支配其他的人，我以为我自己是这样，但是这一周我感觉我。

Andy(00:03:59): 支配的欲望又好像没有我想的那么大，至于为什么？

Andy(00:04:12): 不是特别想要支配对方，或者说是像是什么比较，或者说比较容易进入，反而是比较容易进入。所谓被支配的角色。或者我不知道怎么改，我感觉是因为我不想要。

Andy(00:04:34): 伤害束缚对方的情感或者他的欲望。类似是这样，然后。

Andy(00:04:46): 因为我也不想对方束缚和伤害我的愿望，类似这样的一种感觉，所以我不知道这个能不能所谓叫被支配，但是。

Andy(00:05:08): 就是我会比较有同理心，然后会感觉如果我在对方的位置，我会希望我是怎么样，就比如说我会假设如果我是。咨询师，我会想要我的来访者是怎么样的，我会按照这个要求或者标准去。

Andy(00:05:38): 这样子去行动。他说没有回答你。

Hite(00:05:42): 这个部分，可能我还想再和你一起深究一下，首先关于上周谈到的就是我想要去制备其他人的这样一个感受，好像在这一周没有那么深的体会。上周有和我举了一个例子，就是上周好像你参加了一个那种 SM 的活动，那我不知道在那个活动里面好像作为一个支配者的角色。你感你有什么样的感受，更多的是刚才提到的对被支配的那一个人的同情，还是作为这杯？的一种主动权在手的一种。好的感觉。

Andy(00:06:42): 我感觉当支配者也是可以蛮快的，如果对方是快，但是如果我一旦我的支配会让对方不舒服的话，那我也会有很不开心的感觉。

Andy(00:07:01): 类似是这样的一种感觉，我感觉上周那种。我不太清楚到底是本身 SM 这个事情带给我的冲击或者新鲜感太强，而是说我是对。

Andy(00:07:19): 支配这个东西有很强烈的欲望，因为我感觉我日常生活是蛮少支配别人的。

Andy(00:07:30): 行为。我感觉也想。

Andy(00:07:35): 再多去探讨一下，我不确定。我以为我自己喜欢支配，可能比如说日常生活中没什么机会让我去实现这个欲望说其实我也没那么。计划支配可能不是 SM 活动的五个刺激而已，我感觉这两者的区别还是需要时间去体会一下。

Hite(00:08:09): 在过去的，除了像上周参加活动之外，在过去的任何关系里面，无论是亲密关系还是其他朋友关系之类。有处在比如说这样一个支配者的角色当中。

Andy(00:08:36): 我感觉有，但是比较少，就是我感觉如果对方没什么主意的时候，我才会去支配，他就是所谓支配就是可能比如说给一下意见，然后就比如说吃饭要去哪里吃，然后。

Andy(00:08:51): 今天要怎么安排，一般我都是感觉对方没有特别大的。比如说他没什么想法的时候我才会去做这件事情我感。

Hite(00:09:03): 似乎这已经是你能支配到的最高的范围了，今天我们要去吃什么，去哪里玩？这些由我来安排。

Andy(00:09:18): 我是不太爱干涉别人。

Andy(00:09:25): 所以说我也不希望对方干涉我的事情。当然说，如果对方想要做的事情，我也愿意去做的话，那就一起去做这样子。

Hite(00:09:41): 当比较少的这些支配的情境里面，在支配的过程当中，你的感受到是怎么样的？

Hite(00:10:04): 支配其他人的感受。

Andy(00:10:04): 最支配的感受就是也没有特别的抗。是支配别人的感受还是被钦佩的感受？

Hite(00:10:16): 支配其他人的感受，就比如说，当我去根据我的想法去支配其他人，比如说今天我们要去吃什么，今天我们就是今天我们旅游的行程就是按这样的一个规划。今天就听。

Andy(00:10:34): 很开心，好像我的欲望除了你得到满足，我也带领了别人去看见我的欲望。

Andy(00:10:48): 就比如说我很想吃就干一些日常就是吃饭，然后干什么也没有什么很特别的事情。

Hite(00:10:48): 可以多说一点吗？

Andy(00:10:58): 比如说好像我带了别人去吃一家，我很想吃或者我很爱吃的餐厅，或者说是我很爱的酒吧，或者是我很爱的活动，比如说随缘之类的。

Andy(00:11:10): 那我就会有一种很开心的感觉。那如果对方开心，我会更开心，那当然如果对方不开心的话。

Andy(00:11:22): 我也会有一点点不开心感我感觉整体上还是好的，因为因为带对方去尝试了，或者说带他去看见了我想要的东西。

Andy(00:11:37): 那他喜不喜欢是他个人的选择是这样。

Hite(00:11:41): 在这个过程当中有任何的担心吗？

Andy(00:11:46): 有不会怕他不喜欢。

Hite(00:11:49): 不喜欢意味着什么？

Andy(00:12:00): 这个问题问的很好。不要当对方不喜欢的时候，我会有一点自我攻击，就是我会感觉他好像不是在否定那件东西，而是在否定我这个。

Andy(00:12:20): 虽然说我知道我自己这样讲也是不对的，但是有时候还是无可避免会出现这样的状况，大概是这样，所以会有不好的感受。

Hite(00:12:37): 所以不喜欢，如果对方不喜欢我今天的吃饭的安排。意味着什么？

Andy(00:12:58): 不在感觉就可能会感觉是不喜欢我这个人有可能。

Hite(00:13:10): 刚才提到对方喜欢。意味着什么？

