海特(00:00:12): Hello. 

Andy(00:00:15): 我海特。

海特(00:00:18): 还好吗。

Andy(00:00:20): 还好。没试过这么晚出去？

海特(00:00:24): 因为之前我记得我们刚开始咨询的时候有一段时间。会在比如说周三的晚上这个时间点咨询，所以可能我觉得 suppose 你在这个时间会海 OK。但是。我不知道是不是最近作息习惯跟之前有所变化了。

Andy(00:00:55): 可能，最近可能睡得比较早一点，稍微往前挑了一下，早睡早起。但是对原本挺累的，就不想咨询，但是感觉就累一点，开始感觉也可以。不用每次状态就这么好。

海特(00:01:20): 我们或许今天也可以去讨论一些相对轻松一点的话题。

Andy(00:01:31): 好，

海特(00:01:34): 虽然我可能还是会先问问你，上次上周的咨询在结束的时候有留下一个小的作业。不知道在过去一周是否有想到或者有去完成过。

Andy(00:01:53): 没有完成。对，太忙，不过可以，现在做也可以。

海特(00:02:03): 没关系，没有完成也没有关系，包括上次可能也谈到了一些关于结婚的话题。我想今天可能提起这个话题会太过沉重。

Andy(00:02:23): 海特。是有点太过，没有，都被想回来了。

海特(00:02:33): 我想先问问你对于今天可能咨询前那么辛苦，然后包括也确实因为我的原因，我可能也会相对比较频繁。的去调整这个时间，我不知道会有什么样的感受，如果有任何负面的感受，你也可以告诉我。

Andy(00:03:08): 觉得没什么负面的感受吧，只不过我以为10点钟我还挺精神。然后发现品类的可能也是工作了一周。

海特(00:03:22): 也不会有任何比如说生气，怎么总是调时间。觉得有点委屈。怎么总是我要配合你的时间，或者诸如此类的。

Andy(00:03:44): 不会，我有时候也临时调时间或者跳过，感觉互相包容一下。

海特(00:04:02): 上周面试的结果有出来了吗？

Andy(00:04:08): 没有消息，没有消息，我感觉也不太适合吧，像你那些玩的，这周又有一个新的面试。是在下周一的？早上吧。

海特(00:04:29): 心情和在第一次面试之前相比是否有所变化？

Andy(00:04:38): 丁晴。感觉。感觉周末可以准备多一点，然后我感觉是稍微更轻松了一点。这是听。

海特(00:04:58): 轻松在哪些方面？

Andy(00:05:12): 我感觉没那么依靠，或者是我觉得没上两周那么依靠透过。跳槽去改变我的状态。事情。就之前，怎么？我有一种感觉，哪怕最后就面试不成，我也没什么损失了，我浪费一个小时，然后面试的材料就我准备的东西也是之后可以用。对，他也是，我就往好处想，他也是我这样，不成功，也是我的一个。获取经验的一个途径，我又不怎么会。

海特(00:06:16): 上次谈到我通过跳槽去验证我的市场价值。似乎我也听到像会有一部分，如果即使失败了，也没有什么关系，我至少我的经验积累了下一次，或许。也为成功做下了铺垫。似乎。

Andy(00:07:01): 新心态会有点变，因为我最近在看之前可能放下一段时间的书，就叫做反脆弱。就简单来讲。这么点，他就说单靠工作也很难去。发财了怎么讲就变得很固有，可能要做的，他提出的方法我也不知道是不是对的，他提出的方法。你8%九十的时间在一个很安稳的工作，比如说像是我现在这种时间，然后，可能10~20%的时间可能就是比如说。下班的时间，然后就去干一些。很冒险，很冒险，可能回报很回报的潜力很高的活动。然后就比如说可能是写一些程序，可能他亏的很有限，比如说我就浪费了时间，然后没有人看这样子，比如说，有人。发现了或者是，命中可能还会赚很多钱，然后，我觉得蛮有道理的，虽然我不知道他经不经得起验证的理论，但是我觉得就蛮有趣的。我就会在想，那可能一个人比如说同样才能的两个人，那会不会比如说。一个人，他就在公司工作，他可能就是赚那么多钱，另外一个人可能他机遇好一点，他真的采用这种方法。他最后可能发财了，

Andy(00:09:23): 然后我就在想，真的以。上周的心态，你收入多少就等于你价值多少的话就会还不合理，比如说那两个人的才能是一样，所有可能他们。处理的方式可能会不一样，对，就好像这样子想好像就。有点减轻了，对面试的紧张感反正他也是处于这。百分之。八九十的安稳的时间吧，我就是。

Andy(00:10:17): 上下班这样？对我，我也不知道我是不是这样想的，大概感觉是，因为这样子去减少了那个感觉。

海特(00:10:34): 因为现在上一个面试的结果还没有出来，比如说给到你一个非常明确的回复。失败了。可能会有什么感受。此时此刻。

Andy(00:10:59): 也会难过一下。就感觉也是意料之中的。

海特(00:11:03): 因为是意料之中，所以没有那么难过。因为是意料之中，难过是可以被接受的。又或者难过就不重要。

Andy(00:11:21): 你你就是你知道，失败是理所当然就合适合理的。咁样讲。就好像你，你可能去试吃某一样东西，确实不太合你的胃口，那最后，比如说不买了，我觉得这也很正常。

海特(00:11:51): 可是你的难过也真实的存在着。

Andy(00:12:02): 难过是在于。为什么我不能是所有人都起泡的，就有点自恋吧，

