Hite(00:00:04): 今天也是在外面在哪里？

Andy(00:00:09): 天就是在家，再加一半都会出去。

Hite(00:00:14): 不方便开摄像头吗今晚？

Andy(00:00:15): 对。我还在走路，我等到一个稳定的地方再待下。

Hite(00:00:24): 到好，那今天有任何想要和我分享或者讨论的事情吗？

Andy(00:00:32): 也有分享就是还是最近加妈一样都很开心。我养蚂蚁其实是可以。那一次他们叫做开外挂，就是你养蚂蚁就是可以给以后弄一加一点那种其实是别的蚂蚁生产出来的。那种剪子就是剪子，它会孵化成工艺，然后我买了一点剪子，然后就放进去了。它一放进去就是就因为他其实那个潜质就是要以后打开这样子，然后就一放进去，然后就打开，然后就出现了很多工艺，然后我觉得那个过程也是蛮神奇。

Andy(00:01:32): 然后。分享。大概是这样子。然后还有没有别的？然后。今天我就很想在家工作，我就有点类似方便吧，就在家工作。我不知道这是不是也要分享，上周末的时候我有一个朋友吧。然后找我聊类似？创业的事情吧，然后我就感觉因为我其实一直还蛮想创业的，然后他感觉他要搞的就跟我聊的东西还蛮靠谱，然后就也很开心这样子。大概是这样。

Hite(00:02:36): 这些都是分享的事情。

Andy(00:02:45): 这件事开心的不开心的话，我觉得这一周里面不开心，主要是工作吧。有时候。我感觉我工作还是会不会对比？对就是另外怎么讲就是我的上司，就是我现在有两个上司吧，就是因为有一个上司马上他马上要走了，所以又有一个。我之前比较资深的同事就是接班这样子。这么讲就因为大家都是做授权，因为他们是怎么讲，他们都要管他们自己也会做，就他们不只是管理他们自己也会做售前的工作。

Andy(00:03:41): 有时候销售可能一些我也比较敏感吧，一些间接的反应我会觉得。他觉得上次会比我好很多，虽然我觉得这样也很正常了，因为他毕竟他比我资深很多？但是有时候就是因为也会不开心，感觉好像就是有点想证明自己的感觉，但是他又不知道怎么证明。如果工作上也不开你出来这些周。大概这样子。

Hite(00:04:22): 那我不知道今天有特别想要和我讨论的事情吗？

Andy(00:04:23): So interesting. 也没有。如果你想继续上一个如果我刚刚聊到的事情，你有某一天想探讨的话，可以探讨你想。比如说继续聊上周的话，我觉得也可以继续，我没有特别大的编号这样子？

Hite(00:04:47): 我想先和你讨论一下开心的这一部分事情。养蚂蚁这个事情我不知道。它带给你的新奇的感受和其他的事情相比，有什么样的不同吗？

Andy(00:05:12): 雅玛这个事情对于我来说，心情上有什么不一样。有什么不一样？很开心，很生气，我也是这样，因为我很小就想养蚂蚁，但是一直都没有机会，长大自然。我也不知道是好像不知道是咨询结束还是什么时候，好像是前之前就是说话很想做一点自己一直想做的事情。然后就去做了，然后就去养马底了，然后感觉有点一发不可收拾那种感觉。

Andy(00:06:10): 对。

Hite(00:06:11): 哪一个部分让你觉得有一发不可收拾的感觉？

Andy(00:06:19): 我一直觉得养蚂蚁或者是养东西，就是很神奇，因为比如说你蚂蚁它。会进食，然后它也会繁殖，然后比如说蚂蚁其实还有很多品种，这样子就是可能不同品种的。迷信会不一样，比如说有的做到树上，有的会做到地上就是有的是吃种子，有的是吃昆虫，就是我就感觉就是很神奇。

Hite(00:06:52): 当在最近开始完成，像以前很小时候就已经有的梦想。刚完成的过程和你之前想象的过程有什么差别吗？

